	MM909_01_1	MM909_02_1	MM909_03_1	MM909_06_1	MM909_11_1	MM909_14_1	MM909_15_2	MM909_16_1	MM909_17_1	MM909_22_2	MM909_25_1	MM909_26_1	MM909_27_1	MM909_29_1	MM909_31_1	MM909_34_2	MM909_35_2	MM909_36_1	MM909_37_1	MM909_40_1	MM909_42_1	MM909_43_1	MM909_45_1	MM909_46_1	MM909_47_1
A1BG	1.989	1.58027	2.10649	3.2945	1.58371	1.96644	4.13673	2.74361	3.67576	1.59783	3.22909	1.41953	1.66138	0.8426	1.6072	4.00498	1.33098	2.6047	1.04829	1.26327	1.12852	1.56986	0.82416	1.55491	1.7534
A1CF	0	0	0	0	0	0	0	0	0	0	0.00869	0	0	0	0	0.01034	0	0	0	0	0.00781	0	0	0	0.01073
A2M	7.87575	10.00009	5.55774	6.87104	8.38983	10.09758	7.41774	5.32536	6.14495	8.74414	8.54103	6.96894	5.92766	8.12748	7.39345	7.73267	10.1677	7.23054	8.22219	8.56705	9.51885	6.87358	7.9253	8.34944	9.87299
A2ML1	0	0	0.14526	0.04093	0.06347	0.06982	0.02834	0.0418	0.06613	0.08091	0	0.01511	0.03795	0.00225	0	0.04266	0	0	0	0.01303	0	0.04716	0.00584	0.00937	0
A3GALT2	0	0	0.14072	0	0	0	0	0	0.06193	0	0.14349	0	0.07993	0	0.02035	0.21953	0.05331	0	0	0	0	0	0	0	0.05914
A4GALT	1.69386	0.54076	0.95374	2.23522	1.36743	1.76861	1.168	0.85947	1.09778	4.095	2.57049	1.77463	0.87132	1.83496	0.59895	0.67195	1.64446	0.88232	2.43339	0.73737	1.02665	1.07589	2.69675	1.27845	0.59805
A4GNT	0	0	0	0	0	0	0.04957	0	0	0.02018	0	0	0	0.00763	0.05854	0	0	0.10213	0	0.02881	0	0	0.02678	0.01032	0
AAAS	4.82365	4.02855	4.19528	4.15798	4.23343	5.01988	4.20907	4.16208	3.6348	4.05563	4.31132	4.16489	3.71668	3.8054	5.0679	4.01057	4.55595	4.2894	4.10674	4.26787	3.70043	4.54263	4.02723	4.11094	4.22604
AACS	2.41745	1.99566	1.65985	2.50368	2.00448	3.13351	2.80432	2.93854	2.39725	2.48291	2.82006	2.74809	1.98972	1.82298	2.05605	3.64305	2.74688	1.8422	2.18461	2.51655	1.48276	2.71852	3.57483	2.54611	2.29194
AADAC	0	0	0	0.39359	0	0	0	0	0.03593	0.41547	0	0	0	0	0.59052	0.03318	0	0.09356	0.08293	0	0.03018	0	0.21504	0	0.10579
AADACL2	0	0	0	0.03731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03551	0	0.06585	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0.00614	0	0	0	0	0	0.01403	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03169	0	0
AADAT	1.09017	0.65404	1.38097	2.33022	0.97926	0.82842	1.77303	2.36817	1.62411	1.19644	1.0325	1.23037	1.57531	0.64195	0.35988	0.50452	1.44619	1.81827	1.25542	0.8536	1.10356	2.40321	0.2783	1.1159	0.52235
AAED1	3.23956	3.92216	4.26691	4.26691	3.62246	3.54819	4.02679	3.58809	4.22083	4.14422	3.32275	2.54098	3.62097	3.11494	3.15829	4.31183	3.96689	3.72889	3.53884	3.56264	2.82196	3.19902	3.73689	2.71293	5.10485
