	302D	303D	305D	306D	307D	308D	311D	312D	313D	314D	315D	316D	317D	318D	320D	322D	324D	327D	328D	330D	331D	332D	334D	335D	336D	337D	338D	340D	342D	343D	344D	347D	349D	350D	351D	352D	353D	354D	355D	356D	368D	371D	374D	377D	378D	379D	381D	383D	384D	388D	389D	392D	395D	398D	399D	400D	401D	402D	403D	407D	408D	409D	410D	411D
	1518.249393	1303.373852	1103.284503	527.4177767	1066.038908	866.0255976	530.0204187	448.9976409	479.8302963	396.6347198	411.7040122	782.9872751	579.433312	724.1630302	562.7814301	1014.908875	711.8928638	440.7642678	595.4975984	446.7898567	601.5411729	946.7940254	672.7364592	755.7618744	1343.119015	415.928022	944.4403901	815.682557	336.2100822	1219.140834	1058.147827	465.7916321	394.9226153	623.7142018	647.136372	703.960931	880.5850091	477.2859084	368.419892	434.1943826	491.9887869	879.0165739	533.8109871	693.2588513	456.185022	304.8751879	1114.68398	810.5941519	429.820094	287.7673786	683.7011392	533.7996491	465.8452871	654.7525103	556.2179967	641.5819324	339.4034439	167.88574	304.4983207	239.2381932	601.6072109	547.9161213	532.3803957	729.0478791
	56.84939285	32.47547258	58.08450274	13.45980177	49.23890772	123.6255976	76.42041867	53.29764089	27.7302982	44.03471981	30.50401216	54.88727508	88.13331195	187.0630302	43.0814301	110.7088746	78.39286379	24.26591401	28.89795043	49.38985675	50.74117289	88.09402539	78.13645917	119.7618744	98.31901532	19.32859717	113.0403901	41.58255699	9.526339706	131.4408342	155.9478269	76.79163209	39.6226153	69.31420178	137.436372	19.5612487	58.58500907	39.48590841	97.21989201	51.1943826	11.008661	47.6165739	22.41098972	75.15885132	52.18502197	45.67518786	124.7839796	41.59415191	31.120094	45.36737859	78.20113925	56.79964908	24.84528712	55.85251032	27.01822197	11.08590188	41.1034439	35.88574001	68.59832068	44.33819317	37.50721094	6.50909192	24.08040195	16.76142465
	32.15110187	32.07580517	26.78539805	16.90791231	31.93897021	16.90419411	12.00206956	13.25354931	16.34727246	7.870624943	6.420792595	23.78758082	12.72304276	20.86371551	7.645311918	8.669432346	11.41080993	18.30391593	12.35419706	16.88774952	17.25584375	27.09433629	20.95867875	16.96626359	12.54851547	8.938295427	21.26176101	16.01255329	11.67517059	21.54816666	12.87070017	7.587648382	17.62490287	14.84177061	13.55261829	16.76412444	11.37409001	6.521860155	12.07230165	11.12035131	10.8642394	6.388005523	8.678791433	11.66661016	11.61664662	6.260587237	34.88397962	35.19415192	9.859768889	13.58121913	6.797376347	9.274114251	7.783943597	19.13716935	9.899039921	13.90044272	6.727080824	6.992314787	5.333821165	5.910888052	15.90777407	13.2275532	13.81093307	12.57857912
	146.4493929	163.1738521	151.1845027	68.11777667	105.6389077	145.6255976	38.42041867	54.69764089	54.13029626	49.33471981	44.70401216	53.28727508	68.13331195	66.56303018	49.0814301	108.6088746	50.89286379	37.86426784	43.89759841	71.38985675	55.94117289	172.4940254	146.6364592	73.36187445	53.01901532	72.02802199	103.0403901	91.38255699	44.9100822	114.9408342	106.9478269	50.39163209	21.72268463	40.11420178	73.33637203	44.360931	16.68744507	24.18590857	16.12297966	65.8943826	14.8114221	51.8165739	33.91098714	48.55885132	74.88502197	37.77518786	81.98397961	50.79415191	47.02009399	74.86737859	54.10113925	43.79964908	26.7452871	68.05251032	33.41799828	23.8819347	31.7034439	34.58574001	24.49832418	48.93819317	37.60721094	55.81612133	39.68039574	31.24787911
	1295.049393	1114.473852	947.8845027	411.8177767	1298.238908	972.3255976	406.0204187	330.5976409	338.2302963	366.2347198	281.1040122	350.8872751	449.933312	607.8630302	341.1814301	864.9088746	326.6928638	281.5642678	335.8975984	430.8898567	350.6411729	925.1940254	603.7364592	485.3618744	476.3190153	389.228022	957.7403901	500.682557	297.8100822	1458.740834	1152.247827	427.1916321	275.4226153	604.8142018	546.736372	389.760931	372.2850091	273.9859084	153.619892	337.5943826	199.4887869	434.5165739	180.2109871	553.6588513	570.585022	267.1751879	526.4839796	311.1941519	297.820094	295.9673786	362.3011392	363.8996491	280.8452871	588.0525103	329.9179967	325.9819324	315.7034439	268.08574	318.4983207	390.6381932	365.2072109	400.0161213	493.1803957	548.6478791
	16.30173046	12.43396913	10.25056144	12.7566217	12.91881058	10.92336853	13.22215042	8.898265777	13.41542699	6.663470192	11.27703342	11.50870927	12.63080169	21.96331795	13.44878856	10.4215419	10.97236179	10.90177779	15.24531782	11.49635637	15.74386865	17.2618605	11.86605436	15.57338823	14.52549241	8.938295427	8.858492594	8.711841642	6.535610621	10.55267143	7.704800058	3.429134884	3.804361459	8.308604202	8.133621978	5.658161323	6.2930465	8.722876674	3.878084814	8.183204208	8.830120992	9.594888285	4.107108455	4.929333731	6.772898746	4.753316136	7.095910692	6.645302075	4.195782778	6.788395359	3.987919509	5.254775295	3.928632825	15.8300544	5.588323878	3.066895691	4.196431204	4.366452683	5.172816078	7.369547277	4.783165157	5.042257419	9.234337698	4.450736563
	5.689134646	7.080320172	4.583037868	6.06836933	5.208855615	5.647256053	3.350226887	6.254902987	6.212032944	3.947765762	5.881413399	5.625334369	3.872556932	6.137585958	7.790182017	5.327147014	5.094470166	5.970656611	6.198313743	6.470218766	7.187527612	10.4751753	6.334128928	5.716534043	4.340307926	5.319224545	4.413915521	6.048674116	3.288478363	5.936304857	4.316426785	3.743363529	4.761030118	6.000024816	3.136116653	3.659934439	2.305698656	3.178859475	2.638987809	3.242923296	3.591063101	2.865957848	3.605777964	3.269282343	3.461079979	3.872855619	4.516337986	4.80346947	3.900777837	5.434508971	4.592367054	3.562061276	3.106450537	9.544375586	3.205087164	3.214631531	3.994073865	2.972701072	3.189287151	2.839682018	3.752371796	2.796432028	4.545561997	5.94808779
	3.501793677	4.957382955	3.358672426	4.369550237	3.655724131	4.738334293	2.217278596	4.299861985	3.471315977	2.815631325	2.874983919	3.869263491	2.944837753	2.77083633	4.303228103	5.920111714	4.006331649	4.695743023	3.381738226	3.882867949	3.52497669	4.458585606	3.755392703	4.637026961	2.793177486	2.78388498	4.03172093	3.502497304	2.367725357	5.118379278	3.516729192	2.301504072	2.630419265	2.589951308	2.767079824	2.689816655	2.54704253	3.178859475	2.461166793	1.992797296	3.434296032	3.655215729	2.448699557	2.664489208	2.759025397	2.541186155	3.703578495	3.220314026	2.852179176	2.864892558	3.250120911	2.424966723	3.008073353	4.5576334	3.323207287	1.958182118	2.963505605	2.20617116	2.191873809	1.973452274	2.505639124	2.344894586	4.283827553	3.599993152
	7.190391409	6.275879151	3.340216451	7.532217694	4.735070615	5.092288777	3.717093331	2.634514322	3.863845662	2.904409327	3.105743193	3.459280461	3.672114685	5.486011699	3.460684573	4.739127196	3.545082288	3.989719797	4.462638594	3.062276465	4.29601591	4.582269181	3.48852816	4.248546724	5.203438237	3.697000779	3.535240634	3.817042791	4.429084692	3.759327127	2.82748503	3.677434479	3.530432579	3.508318003	2.901286029	2.305472603	2.382061594	2.260577863	2.999559593	2.0721327	3.838251868	3.468442598	2.637585714	2.686237218	3.228325279	2.7084338	4.516337986	3.696785978	3.116668487	3.008799138	3.951355527	2.34538185	2.109963142	4.025548678	3.148462786	2.264892145	3.362987398	4.81812735	2.972162833	2.42118935	2.669306583	2.047630372	3.410984385	3.485130872
	8.447084117	7.405699944	3.80841222	4.427747276	5.905315144	3.833157531	5.857601519	4.511026669	4.208390193	2.730649264	2.572826084	4.316449104	3.902447777	5.435246017	5.080382319	3.612108779	4.295885799	4.795951515	5.633323438	3.50566937	4.965939139	3.831812907	4.925214	5.0185977	4.984994145	3.194490367	5.042188139	4.982861964	4.24505701	7.134335932	5.298065206	3.313737563	3.804361459	3.279024219	3.296531177	3.624916937	3.189133494	3.3874699	2.547730916	2.442878771	5.916483149	3.380031138	2.662707381	2.995018935	3.0681895	3.09484455	4.172555419	5.411295619	2.968089864	3.069223845	5.417302426	2.128412177	2.602098853	4.951297558	3.769081152	3.09566489	3.660442638	2.713230242	4.445993179	2.557779883	2.88011326	3.613639562	3.814709332	3.814180607
